ram,ram_category,ram_per_core,storage_ram_ratio,performance_score,battery_power,battery_wt_ratio,px_width,px_height,battery_category,pixel_density,screen_area,mobile_wt,n_cores,price_range
3560,3,445.0,13.7,62.66,633,4.55,1009,529.0,0,94.94,11,139,8,2
2311,2,330.14,18.67,43.68,724,3.87,1754,1273.0,0,270.91,42,187,7,2
3846,3,641.0,13.23,11.54,822,5.24,860,667.0,0,98.94,10,157,6,3
1717,1,343.4,5.63,16.31,1918,17.44,1543,1170.0,2,242.05,7,110,5,2
3704,3,529.14,9.95,72.6,1891,14.66,1108,169.0,2,124.53,48,129,7,3
3800,3,542.86,13.12,26.6,1373,10.81,673,105.0,1,75.68,24,127,7,3
278,0,139.0,61.91,0.44,862,5.22,1758,793.0,0,113.45,48,165,2,0
1767,1,441.75,26.29,7.07,1273,12.86,886,490.0,1,53.29,270,99,4,1
1846,1,369.2,3.68,23.08,957,8.94,1485,1201.0,0,146.91,60,107,5,1
829,0,414.5,32.98,2.16,1617,15.4,1038,246.0,2,106.68,54,105,2,0
2986,2,1493.0,18.24,14.93,893,4.88,946,417.0,0,129.23,7,183,2,2
2394,2,478.8,25.84,5.98,1210,13.01,1462,1177.0,1,104.27,153,93,5,2
2169,2,271.12,28.4,46.85,708,3.63,654,78.0,0,94.09,30,195,8,1
1181,1,295.25,5.59,5.2,835,8.27,1604,323.0,0,116.87,65,101,4,0
575,0,575.0,28.72,1.55,1450,11.07,1882,707.0,1,125.65,135,131,1,0
2977,2,425.29,18.95,31.26,973,5.12,1816,457.0,0,267.52,24,190,7,2
532,0,133.0,6.46,2.98,601,3.9,765,356.0,0,64.91,96,154,4,0
1702,1,243.14,18.16,5.96,507,3.6,1398,936.0,0,93.47,102,141,7,1
1074,1,358.0,44.39,5.8,564,3.36,1980,912.0,0,145.33,112,168,3,0
3352,3,558.67,1.78,32.18,1559,9.62,1559,179.0,2,156.92,9,162,6,3
1027,1,146.71,53.49,3.59,754,4.24,1928,1914.0,0,388.1,18,178,7,1
2039,2,509.75,11.95,22.02,728,8.27,1529,526.0,0,269.49,5,88,4,1
461,0,461.0,101.78,0.23,1431,7.49,952,156.0,1,120.59,21,191,1,0
527,0,131.75,45.55,3.16,767,4.38,1517,344.0,0,141.41,60,175,4,0
3271,3,1635.5,5.46,17.01,1722,9.73,1741,865.0,2,129.6,84,177,2,3
606,0,303.0,82.39,1.94,1992,19.92,1596,1552.0,2,222.62,27,100,2,1
2513,2,418.83,15.66,7.54,1876,21.81,1564,546.0,2,150.6,80,86,6,3
1675,1,279.17,21.89,11.06,1054,7.75,1222,1097.0,1,86.43,72,136,6,1
2698,2,539.6,17.19,21.58,1283,13.8,692,372.0,1,78.57,54,93,5,2
1129,1,1129.0,23.28,2.6,1281,8.66,1617,1285.0,1,158.88,12,148,1,1
468,0,66.86,12.57,1.97,1066,9.35,1571,1242.0,1,100.13,247,114,7,0
1210,1,151.25,3.12,20.33,730,8.2,1247,302.0,0,64.15,285,89,8,0
3086,3,3086.0,14.45,2.47,1053,10.22,1767,594.0,1,103.56,102,103,1,3
1595,1,531.67,1.81,2.39,1611,16.44,714,303.0,2,86.18,32,98,3,1
2332,2,1166.0,12.62,4.66,793,5.96,1935,1858.0,0,149.03,221,133,2,2
2589,2,647.25,23.59,30.03,1220,9.76,1933,403.0,1,98.73,209,125,4,2
3760,3,940.0,16.17,7.52,1662,13.19,1509,32.0,2,150.93,45,126,4,3
1851,1,462.75,4.19,20.73,1281,8.9,954,590.0,1,124.63,16,144,4,1
417,0,59.57,3.94,2.34,538,3.04,662,235.0,0,78.05,32,177,7,0
294,0,36.75,100.75,1.18,823,4.4,888,630.0,0,77.77,117,187,8,0
3576,3,596.0,10.02,60.08,1733,14.56,527,357.0,2,35.36,272,119,6,3
3945,3,1315.0,10.12,17.75,1429,14.29,820,246.0,1,71.34,77,100,3,3
927,0,132.43,53.72,7.79,1839,9.2,1493,475.0,2,78.34,190,200,7,1
2044,2,681.33,2.86,16.56,659,5.99,1929,1054.0,0,137.39,75,110,3,1
2334,2,291.75,23.54,39.21,1953,12.36,764,555.0,2,78.69,55,158,8,2
1477,1,1477.0,17.51,2.81,1172,7.15,1092,607.0,1,96.11,72,164,1,1
3161,3,451.57,5.02,42.04,612,6.0,1891,1360.0,0,258.81,32,102,7,3
3660,3,457.5,6.53,70.27,1563,9.19,1699,142.0,2,213.12,35,170,8,3
1604,1,1604.0,15.6,2.09,1191,14.18,683,681.0,1,64.3,42,84,1,1
2211,2,368.5,18.59,6.63,615,3.77,1664,104.0,0,208.41,28,163,6,1
3822,3,1911.0,16.44,16.05,1893,14.13,763,637.0,2,66.26,42,134,2,3
3922,3,560.29,4.07,46.67,1563,10.35,572,410.0,2,58.65,11,151,7,3
1203,1,200.5,7.06,13.71,1995,14.35,1963,1830.0,2,178.91,168,139,6,2
2822,2,564.4,16.81,7.06,1517,10.61,1489,802.0,2,105.7,75,143,5,3
447,0,89.4,63.37,3.58,832,7.7,1294,311.0,0,83.18,195,108,5,0
1652,1,236.0,32.69,23.13,1162,10.19,997,56.0,1,166.43,30,114,7,1
3608,3,451.0,3.31,75.05,1595,13.18,655,344.0,2,46.24,15,121,8,3
1228,1,204.67,40.02,7.37,1329,7.34,1458,1053.0,1,199.83,48,181,6,1
666,0,83.25,74.63,2.66,928,11.6,1243,221.0,0,63.12,190,80,8,0
1499,1,214.14,24.3,5.25,1656,15.77,519,506.0,2,55.76,96,105,7,1
3321,3,3321.0,17.35,5.65,1937,10.25,1767,1728.0,2,411.92,20,189,1,3
1206,1,201.0,44.61,7.96,977,5.4,566,63.0,0,71.19,7,181,6,0
952,0,952.0,54.39,0.86,768,6.8,515,418.0,0,33.16,57,113,1,0
3927,3,1963.5,3.05,3.93,1464,12.51,1168,854.0,1,241.15,15,117,2,3
311,0,155.5,71.83,0.56,1177,6.16,882,178.0,1,47.36,90,191,2,0
955,0,318.33,50.36,5.73,1348,13.76,1942,1869.0,1,141.86,198,98,3,1
1109,1,369.67,31.28,7.32,1956,22.48,776,185.0,2,56.98,13,87,3,1
2969,2,494.83,2.67,8.91,1751,9.84,564,170.0,2,65.45,48,178,6,2
725,0,120.83,51.98,8.7,1530,8.64,1975,454.0,2,168.88,110,177,6,0
1655,1,413.75,23.31,11.92,1997,10.79,1212,866.0,2,186.2,42,185,4,2
