battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,total_camera_mp,screen_area,aspect_ratio,pixel_density,ram_per_core,battery_wt_ratio,storage_ram_ratio,connectivity_score,performance_score,ram_category,battery_category
769,1,2.9,1,0,0,9,0.1,182,5,1,248.0,874,3946,5,2,7,0,0,0,3,1,10,3.51,151.42,789.2,4.23,2.28,2,57.22,3,0
1520,1,2.2,0,5,1,33,0.5,177,8,18,151.0,1005,3826,14,9,13,1,1,1,3,23,126,6.612,67.75,478.25,8.59,8.6,5,67.34,3,2
1815,0,2.8,0,2,0,33,0.6,159,4,17,607.0,748,1482,18,6,2,1,0,0,1,19,108,1.23,50.7,370.5,11.42,21.33,1,16.6,1,2
803,1,2.1,0,7,0,17,1.0,198,4,11,344.0,1440,2680,7,1,4,1,0,1,2,18,7,4.174,185.06,670.0,4.06,6.26,3,22.51,2,0
1866,0,0.5,0,13,1,52,0.7,185,1,17,356.0,563,373,14,9,3,1,0,1,0,30,126,1.577,44.41,373.0,10.09,112.01,3,0.19,0,2
775,0,1.0,0,3,0,46,0.7,159,2,16,862.0,1864,568,17,15,11,1,1,1,0,19,255,2.16,114.09,284.0,4.87,70.26,3,1.14,0,0
838,0,0.5,0,1,1,13,0.1,196,8,4,984.0,1850,3554,10,9,19,1,0,1,3,5,90,1.878,190.49,444.25,4.28,3.64,3,14.22,3,0
595,0,0.9,1,7,1,23,0.1,121,3,17,441.0,810,3752,10,2,18,1,1,0,3,24,20,1.833,83.84,1250.67,4.92,6.11,4,10.13,3,0
1131,1,0.5,1,11,0,49,0.6,101,5,18,658.0,878,1835,19,13,16,1,1,0,1,29,247,1.332,54.86,367.0,11.2,25.9,4,4.59,1,1
682,1,0.5,0,4,0,19,1.0,121,4,11,902.0,1064,2337,11,1,18,0,1,1,1,15,11,1.178,116.24,584.25,5.64,7.98,3,4.67,2,0
772,0,1.1,1,12,0,39,0.8,81,7,14,1314.0,1854,2819,17,15,3,1,1,0,3,26,255,1.41,126.25,402.71,9.53,13.67,3,21.71,2,0
1709,1,2.1,0,1,0,13,1.0,156,2,2,974.0,1385,3283,17,1,15,1,0,0,3,3,17,1.421,94.07,1641.5,10.96,3.93,2,13.79,3,2
1949,0,2.6,1,4,0,47,0.3,199,4,7,407.0,822,1433,11,5,20,0,0,1,1,11,55,2.015,76.44,358.25,9.79,31.35,2,14.9,1,2
1602,1,2.8,1,4,1,38,0.7,114,3,20,466.0,788,1037,8,7,20,1,0,0,0,24,56,1.687,101.72,345.67,14.05,34.15,4,8.71,1,2
503,0,1.2,1,5,1,8,0.4,111,3,13,201.0,1245,2583,11,6,12,1,0,0,1,18,66,6.163,105.09,861.0,4.53,3.05,3,9.3,2,0
961,1,1.4,1,0,1,57,0.6,114,8,3,291.0,1434,2782,18,9,7,1,1,1,2,3,162,4.911,77.01,347.75,8.43,20.24,6,31.16,2,0
519,1,1.6,1,7,1,51,0.3,132,4,19,550.0,645,3763,16,1,4,1,0,1,3,26,16,1.171,49.86,940.75,3.93,13.51,5,24.08,3,0
956,0,0.5,0,1,1,41,1.0,143,7,6,511.0,1075,3286,17,8,12,1,1,0,3,7,136,2.1,66.13,469.43,6.69,12.39,3,11.5,3,0
1453,0,1.6,1,12,1,52,0.3,96,2,18,187.0,1311,2373,10,1,10,1,1,1,2,30,10,6.973,120.39,1186.5,15.14,21.51,5,7.59,2,1
851,0,0.5,0,3,0,21,0.4,200,5,7,1171.0,1263,478,12,7,10,1,0,1,0,10,84,1.078,132.49,95.6,4.26,37.05,2,1.2,0,0
1579,1,0.5,1,0,0,5,0.2,88,7,9,1358.0,1739,3532,17,11,12,0,0,1,3,9,187,1.28,122.58,504.57,17.94,1.41,3,12.36,3,2
1568,1,0.5,0,16,0,33,1.0,150,8,20,413.0,654,508,5,1,6,1,1,1,0,36,5,1.58,128.91,63.5,10.45,55.36,4,2.03,0,2
1319,1,0.9,0,3,1,41,0.9,107,1,18,85.0,1152,2227,18,5,3,1,1,1,1,21,90,13.395,60.8,2227.0,12.33,18.02,5,2.0,2,1
1310,1,2.2,1,0,1,51,0.6,100,4,0,178.0,1919,3845,7,6,12,1,1,0,3,0,42,10.721,240.9,961.25,13.1,13.23,5,33.84,3,1
644,1,2.7,0,0,0,22,0.7,157,8,3,311.0,881,1262,12,1,15,1,0,0,0,3,12,2.824,71.87,157.75,4.1,16.51,2,27.26,1,0
725,0,1.3,1,16,0,60,0.4,160,8,17,1134.0,1249,1326,10,4,15,1,0,0,1,33,40,1.1,153.36,165.75,4.53,43.01,2,13.79,1,0
589,1,2.3,1,1,0,61,0.6,160,4,10,429.0,815,2113,13,7,2,1,0,1,1,11,91,1.895,65.79,528.25,3.68,28.2,4,19.44,2,0
1725,1,1.6,1,6,1,6,0.5,119,2,18,609.0,1307,3429,6,5,4,1,1,0,3,24,30,2.143,205.99,1714.5,14.5,1.74,5,10.97,3,2
790,0,2.0,1,16,1,11,0.3,87,6,17,347.0,730,3169,6,1,2,1,0,1,2,33,6,2.098,115.47,528.17,9.08,3.44,4,38.03,3,0
560,0,0.5,1,15,0,50,0.3,159,2,20,1448.0,1613,2150,18,12,11,1,1,0,2,35,216,1.113,114.08,1075.0,3.52,22.73,3,2.15,2,0
1347,0,2.9,0,5,0,44,0.6,132,1,14,434.0,967,2484,18,2,11,1,0,1,2,19,36,2.223,55.79,2484.0,10.2,17.42,2,7.2,2,1
1646,1,2.3,0,8,1,41,0.2,185,2,10,1725.0,1932,3339,18,10,19,1,1,0,3,18,180,1.119,136.32,1669.5,8.9,12.2,4,15.36,3,2
1253,1,0.5,1,5,1,5,0.2,152,2,19,685.0,714,1878,15,6,4,1,1,0,1,24,90,1.041,61.84,939.0,8.24,2.59,5,1.88,1,1
1656,0,1.0,0,5,1,34,0.1,166,3,7,880.0,1456,1629,15,12,14,1,1,0,1,12,180,1.653,106.33,543.0,9.98,20.11,3,4.89,1,2
1195,1,2.8,0,1,1,20,0.8,110,2,14,1580.0,1652,504,9,3,12,1,1,0,0,15,27,1.045,228.59,252.0,10.86,33.77,4,2.82,0,1
1514,0,2.9,0,0,0,27,0.2,118,3,1,186.0,1810,1152,8,3,20,0,1,1,1,1,24,9.679,202.17,384.0,12.83,22.04,2,10.02,1,2
1723,1,1.1,1,1,0,42,1.0,164,8,14,202.0,1791,3587,10,5,3,1,0,0,3,15,50,8.823,163.85,448.38,10.51,11.66,3,31.57,3,2
1054,1,1.8,1,3,1,40,0.8,196,7,10,27.0,774,2296,16,12,12,1,0,1,1,13,192,27.643,45.56,328.0,5.38,17.08,5,28.93,2,1
578,1,2.6,1,2,1,57,0.2,162,8,8,1025.0,1433,1270,15,3,5,1,0,1,0,10,45,1.397,110.12,158.75,3.57,42.53,5,26.42,1,0
596,0,2.1,1,9,0,64,0.8,111,8,15,885.0,1854,3238,16,13,10,0,0,0,3,24,208,2.093,120.85,404.75,5.37,19.62,1,54.4,3,0
1547,1,3.0,1,2,1,14,0.7,198,3,19,1042.0,1832,2059,5,6,15,1,0,1,2,21,30,1.756,351.27,686.33,7.81,6.63,5,18.53,2,2
1760,0,1.4,1,5,0,63,0.8,127,8,19,1382.0,1383,2053,19,12,16,0,1,0,2,24,228,1.0,97.76,256.62,13.86,29.93,2,22.99,2,2
1654,1,1.5,1,0,1,43,0.3,109,2,0,546.0,629,3112,12,5,10,1,1,0,3,0,60,1.15,64.07,1556.0,15.17,13.7,5,9.34,3,2
1457,0,1.9,1,1,1,16,0.3,102,3,10,1013.0,1287,1440,17,8,12,1,0,1,1,11,136,1.269,90.99,480.0,14.28,10.62,4,8.21,1,1
1073,1,0.5,1,0,0,51,0.5,145,7,0,690.0,804,2908,6,6,18,0,1,0,2,0,36,1.164,151.36,415.43,7.4,17.35,3,10.18,2,1
1936,0,2.1,1,10,1,46,0.6,104,3,20,667.0,1036,2552,14,7,13,1,0,0,2,30,98,1.551,82.14,850.67,18.62,17.75,3,16.08,2,2
823,1,2.7,1,13,0,60,0.5,148,8,19,822.0,1449,905,14,11,17,1,1,1,0,32,154,1.761,111.06,113.12,5.56,60.99,5,19.55,0,0
987,0,1.3,1,0,1,61,0.4,107,3,9,581.0,820,3963,9,4,20,1,0,1,3,9,36,1.409,100.5,1321.0,9.22,15.36,4,15.46,3,0
1757,0,0.5,0,8,0,49,0.5,180,6,14,265.0,713,2056,7,5,4,0,0,0,1,22,35,2.68,95.08,342.67,9.76,23.25,0,6.17,2,2
1063,0,1.4,1,2,1,48,1.0,128,5,4,127.0,683,2910,15,13,9,1,1,1,2,6,195,5.336,43.42,582.0,8.3,16.32,5,20.37,2,1
1484,0,3.0,0,3,0,12,0.6,134,3,5,916.0,969,1457,14,4,20,1,1,0,1,8,56,1.057,88.89,485.67,11.07,7.88,2,13.11,1,1
799,1,2.3,0,1,1,63,0.8,144,8,6,361.0,975,431,15,6,6,1,1,1,0,7,90,2.693,64.98,53.88,5.55,120.94,5,7.93,0,0
1156,1,1.2,1,0,1,50,0.8,159,2,0,322.0,547,470,7,6,15,1,1,0,0,0,42,1.693,79.34,235.0,7.27,89.45,5,1.13,0,1
1720,0,2.0,0,15,1,55,0.5,168,2,18,753.0,1353,2148,14,2,5,1,1,1,2,33,28,1.794,103.23,1074.0,10.24,25.03,4,8.59,2,2
702,0,2.6,1,2,1,9,0.7,141,3,3,504.0,1570,2955,10,4,19,1,0,0,2,5,40,3.109,149.9,985.0,4.98,3.01,3,23.05,2,0
616,0,1.9,1,13,1,44,0.8,81,3,17,651.0,1618,3366,18,8,13,1,1,0,3,30,144,2.482,91.79,1122.0,7.6,12.99,4,19.19,3,0
1358,1,0.5,0,11,1,36,0.3,155,4,14,1565.0,1858,3068,9,4,4,1,1,0,3,25,36,1.186,242.93,767.0,8.76,11.63,4,6.14,3,1
1866,0,1.4,0,0,0,30,0.5,182,3,0,108.0,1781,3834,16,11,8,0,0,0,3,0,176,16.339,104.96,1278.0,10.25,7.8,0,16.1,3,2
1242,0,1.1,1,0,0,10,0.6,165,2,1,459.0,1225,1050,11,1,4,1,0,1,0,1,11,2.663,109.01,525.0,7.53,8.89,3,2.31,1,1
1166,0,1.5,1,0,1,43,0.8,80,4,1,205.0,603,3993,7,1,7,1,1,0,3,1,7,2.927,79.61,998.25,14.58,10.75,4,23.96,3,1
1448,1,0.5,1,6,1,45,0.8,138,7,11,570.0,1724,3378,13,11,2,1,1,1,3,17,143,3.019,129.7,482.57,10.49,13.24,6,11.82,3,1
1407,1,2.4,0,1,1,22,0.7,104,4,4,1172.0,1217,2192,9,7,13,1,0,1,2,5,63,1.038,168.96,548.0,13.53,9.82,4,21.04,2,1
605,0,1.0,0,8,1,9,0.1,142,3,16,160.0,1026,392,15,6,4,1,0,0,0,24,90,6.373,64.9,130.67,4.26,18.64,2,1.18,0,0
1038,0,1.2,0,3,0,43,0.7,141,1,5,4.0,638,3709,11,6,12,1,1,1,3,8,66,127.6,53.17,3709.0,7.36,11.55,3,4.45,3,1
797,1,2.9,1,4,0,38,0.5,90,4,6,763.0,1413,590,9,2,6,0,1,0,0,10,18,1.849,160.58,147.5,8.86,56.2,3,6.84,0,0
819,0,0.6,1,8,1,42,0.9,188,6,20,339.0,1242,1814,5,4,13,1,0,1,1,28,20,3.653,214.57,302.33,4.36,22.44,4,6.53,1,0
1114,0,2.8,0,4,1,9,0.4,197,3,15,1040.0,1071,907,10,7,17,1,1,0,0,19,70,1.029,135.71,302.33,5.65,9.13,3,7.62,0,1
1234,1,1.6,1,1,0,33,0.6,172,1,3,166.0,778,1449,11,7,6,0,0,1,0,4,77,4.659,66.29,1449.0,7.17,21.78,3,2.32,1,1
1199,1,2.5,1,15,1,16,0.2,116,4,20,1168.0,1552,3448,17,13,10,1,0,1,3,35,221,1.328,107.91,862.0,10.34,4.61,5,34.48,3,1
1103,0,1.0,1,6,0,29,0.7,111,6,8,990.0,1486,1837,8,7,16,0,1,1,1,14,56,1.499,198.4,306.17,9.94,15.31,3,11.02,1,1
1589,1,0.6,1,0,1,58,0.9,85,7,7,319.0,1206,3464,19,10,6,1,1,1,3,7,190,3.769,62.37,494.86,18.69,16.65,6,14.55,3,2
999,0,2.9,1,11,1,64,0.2,199,4,19,1397.0,1616,2593,14,11,16,1,1,0,2,30,154,1.156,142.41,648.25,5.02,24.31,4,30.08,2,0
1510,1,0.9,1,2,0,45,0.9,180,5,3,708.0,1752,3484,9,6,11,0,1,1,3,5,54,2.471,188.96,696.8,8.39,12.85,4,15.68,3,2
1008,0,0.8,0,11,0,61,1.0,114,3,15,1077.0,1122,2009,10,3,11,1,0,0,1,26,30,1.041,141.39,669.67,8.84,29.58,1,4.82,2,1
1127,1,2.9,1,5,1,57,0.8,163,1,13,928.0,1049,2048,11,5,17,1,1,1,1,18,55,1.129,116.71,2048.0,6.91,27.14,6,5.94,2,1
1412,1,2.4,0,5,0,25,0.8,96,8,17,516.0,1894,837,15,9,4,0,0,1,1,22,135,3.663,122.69,104.62,14.71,27.25,2,16.07,0,1
1496,1,2.0,1,4,0,42,0.5,182,5,5,96.0,741,854,16,6,7,0,1,1,0,9,96,7.639,43.95,170.8,8.22,44.97,4,8.54,0,1
1083,1,2.9,1,1,1,64,0.8,178,3,11,1025.0,1118,3210,13,3,4,1,0,0,3,12,39,1.09,108.34,1070.0,6.08,19.79,4,27.93,3,1
668,0,0.5,1,0,0,3,0.1,155,5,13,666.0,1203,2746,9,5,8,1,1,1,2,13,45,1.804,137.51,549.2,4.31,1.08,4,6.86,2,0
1309,0,1.1,1,0,0,33,0.5,100,4,14,557.0,1402,2334,10,1,11,1,0,1,2,14,10,2.513,137.14,583.5,13.09,13.87,3,10.27,2,1
1724,0,2.0,1,2,1,57,0.5,177,3,5,1605.0,1924,2822,19,3,16,1,1,0,3,7,57,1.198,125.28,940.67,9.74,19.96,4,16.93,2,2
1977,1,2.0,1,7,1,54,1.0,171,7,18,1226.0,1242,1971,18,7,14,1,1,0,2,25,126,1.012,91.85,281.57,11.56,26.67,5,27.59,1,2
885,0,2.3,1,0,1,15,0.4,103,7,0,769.0,802,1410,16,10,5,1,1,1,0,0,160,1.042,65.36,201.43,8.59,10.16,5,22.7,1,0
879,1,2.5,0,11,1,14,0.7,83,6,15,403.0,1105,349,16,10,2,1,0,1,0,26,160,2.735,69.19,58.17,10.59,31.76,4,5.24,0,0
1322,0,1.7,1,6,0,7,0.8,140,3,9,177.0,1990,1418,19,17,12,0,1,0,1,15,323,11.18,99.89,472.67,9.44,4.71,2,7.23,1,1
1137,1,1.0,0,16,0,7,1.0,196,3,19,942.0,1179,3616,13,5,12,1,1,1,3,35,65,1.25,107.79,1205.33,5.8,1.93,4,10.85,3,1
1355,0,2.3,0,10,1,23,0.2,132,5,16,651.0,891,880,19,4,8,1,1,0,0,26,76,1.367,55.17,176.0,10.27,23.97,3,10.12,0,1
1665,1,0.5,0,3,1,60,0.2,194,6,18,1572.0,1684,1601,18,17,14,1,0,0,2,21,306,1.071,121.25,266.83,8.58,36.07,3,4.8,1,2
657,0,2.5,0,0,0,37,0.7,141,2,1,476.0,961,1412,14,3,18,0,1,0,0,1,42,2.015,71.5,706.0,4.66,25.02,1,7.06,1,0
593,0,0.5,0,6,0,31,0.4,156,7,7,1233.0,1317,1692,6,2,7,1,0,0,1,13,12,1.067,257.73,241.71,3.8,17.69,1,5.92,1,0
1883,1,0.5,0,3,1,10,0.3,146,6,13,836.0,1739,2600,16,8,20,1,0,0,3,16,128,2.078,113.5,433.33,12.9,3.79,3,7.8,2,2
1732,1,1.1,0,4,1,12,0.8,119,8,9,824.0,881,1308,16,7,11,1,0,1,1,13,112,1.068,70.96,163.5,14.55,8.71,4,11.51,1,2
543,0,0.5,0,0,0,57,0.7,192,5,4,391.0,984,2413,17,14,15,1,0,0,1,4,238,2.51,58.82,482.6,2.83,23.2,1,6.03,2,0
1939,1,2.8,1,0,1,55,0.6,199,4,10,320.0,520,1047,14,10,18,1,1,0,0,10,140,1.62,40.7,261.75,9.74,49.0,5,11.73,1,2
553,0,2.4,1,1,1,8,0.5,121,7,3,325.0,902,1204,11,4,8,1,1,1,0,4,44,2.767,79.9,172.0,4.57,6.27,5,20.23,1,0
832,0,0.7,1,2,1,39,0.7,103,4,3,125.0,1504,1799,5,2,11,1,0,1,1,5,10,11.937,251.53,449.75,8.08,21.0,4,5.04,1,0
1661,0,1.9,1,5,0,23,1.0,172,5,10,846.0,1634,2676,12,6,11,0,1,1,3,15,72,1.929,141.54,535.2,9.66,8.48,3,25.42,2,2
1657,1,2.4,0,3,0,42,0.1,198,5,16,1770.0,1796,2597,18,1,14,1,0,0,3,19,18,1.014,132.72,519.4,8.37,15.93,2,31.16,2,2
1135,1,2.0,1,0,0,46,0.3,83,1,4,293.0,1846,3029,19,17,9,1,1,1,3,4,323,6.279,93.46,3029.0,13.67,15.04,5,6.06,3,1
1775,1,1.5,0,3,0,41,0.1,163,1,7,1633.0,1869,2343,19,13,14,1,1,1,3,10,247,1.144,124.1,2343.0,10.89,17.17,4,3.51,2,2
783,0,1.8,1,0,1,43,1.0,106,3,4,1198.0,1471,2016,16,4,18,1,1,0,1,4,64,1.227,111.59,672.0,7.39,20.79,4,10.89,2,0
617,1,2.3,0,0,0,32,0.5,199,7,20,768.0,874,2213,18,13,7,0,0,0,1,20,234,1.137,61.24,316.14,3.1,14.15,1,35.63,2,0
867,0,1.4,1,0,1,4,0.7,135,6,1,70.0,1974,790,13,6,3,1,1,0,0,1,78,27.803,141.09,131.67,6.42,4.59,4,6.64,0,0
1310,1,1.1,1,13,0,7,1.0,194,5,14,117.0,513,3182,8,4,5,1,1,0,2,27,32,4.347,58.46,636.4,6.75,2.18,4,17.5,3,1
1804,0,0.5,0,9,1,22,0.6,153,7,19,1158.0,1244,3472,9,1,20,1,0,1,3,28,9,1.073,169.96,496.0,11.79,6.3,3,12.15,3,2
1900,1,2.3,0,1,1,18,0.2,89,7,9,1055.0,1661,2871,12,1,13,1,1,1,3,10,12,1.573,151.36,410.14,21.35,6.2,5,46.22,2,2
909,1,1.4,0,0,0,53,0.3,82,8,0,635.0,973,3187,12,9,4,1,0,0,2,0,108,1.53,89.38,398.38,11.09,16.5,2,35.69,3,0
1084,1,2.6,0,3,1,40,0.9,107,3,11,322.0,771,1945,15,4,10,1,1,0,1,14,60,2.387,52.22,648.33,10.13,20.01,4,15.17,1,1
1308,0,1.3,1,8,0,46,0.9,199,1,12,275.0,989,488,5,3,9,0,1,0,0,20,15,3.583,171.09,488.0,6.57,79.78,2,0.63,0,1
1778,0,0.5,0,0,0,15,0.5,102,3,0,1445.0,1954,1214,5,6,14,1,0,0,1,0,30,1.351,405.04,404.67,17.43,11.67,1,1.82,1,2
1701,1,1.6,1,3,0,10,0.3,194,8,7,550.0,1338,2598,12,9,6,0,1,0,2,10,108,2.428,111.28,324.75,8.77,3.79,3,33.25,2,2
772,1,2.4,1,1,1,10,0.5,80,4,2,1242.0,1712,3242,18,11,4,1,1,0,3,3,198,1.377,111.32,810.5,9.65,3.06,5,31.12,3,0
825,1,0.5,1,7,0,52,0.9,130,3,10,597.0,863,3534,10,4,6,0,1,0,3,17,40,1.443,95.4,1178.0,6.35,14.64,3,5.3,3,0
1379,0,1.1,0,5,1,36,0.8,200,2,7,538.0,1376,3426,5,4,17,1,1,1,3,12,20,2.553,246.24,1713.0,6.9,10.45,4,7.54,3,1
1166,0,2.0,0,3,1,25,0.8,198,5,4,59.0,1203,2488,13,5,15,1,0,0,2,7,65,20.05,86.03,497.6,5.89,9.88,2,24.88,2,1
1659,0,2.8,0,5,0,16,0.6,89,1,20,819.0,902,3255,19,14,9,0,0,1,3,25,266,1.1,60.92,3255.0,18.64,4.88,1,9.11,3,2
826,1,2.4,1,0,1,58,0.3,88,4,1,179.0,786,2863,9,3,18,1,0,1,2,1,27,4.367,80.61,715.75,9.39,20.03,5,27.48,2,0
1564,0,2.3,0,4,1,25,0.5,189,6,17,1259.0,1965,1496,6,4,7,1,1,1,1,21,24,1.56,333.39,249.33,8.28,16.02,4,20.64,1,2
1957,0,0.9,1,11,0,31,0.6,181,3,16,396.0,1732,3801,12,6,7,1,0,1,3,27,72,4.363,136.67,1267.0,10.81,8.13,3,10.26,3,2
1571,0,1.4,0,0,1,19,0.1,100,6,1,713.0,1398,666,12,10,13,1,1,0,0,1,120,1.958,120.72,111.0,15.71,25.32,3,5.59,0,2
1414,0,2.0,1,2,0,54,0.8,99,7,3,262.0,829,3799,17,7,7,1,0,1,3,5,119,3.152,48.3,542.71,14.28,14.17,3,53.19,3,1
1790,0,2.5,1,9,0,2,0.1,184,1,14,622.0,792,1366,7,6,20,1,1,1,1,23,42,1.271,125.88,1366.0,9.73,1.39,4,3.42,1,2
645,0,0.5,0,1,0,41,1.0,197,7,10,327.0,580,2962,12,9,4,1,1,1,2,11,108,1.768,51.22,423.14,3.27,13.7,3,10.37,2,0
668,0,2.9,1,7,0,30,0.2,195,8,12,522.0,1056,2399,10,5,7,1,1,1,1,19,50,2.019,107.09,299.88,3.43,12.28,4,55.66,2,0
1652,1,1.1,1,1,0,36,0.7,89,4,5,313.0,1264,2338,12,8,20,0,0,0,2,6,96,4.025,100.17,584.5,18.56,15.11,2,10.29,2,2
1213,1,0.5,0,0,0,16,0.5,108,5,0,226.0,1248,2700,12,3,9,0,0,1,2,0,36,5.498,97.56,540.0,11.23,5.85,2,6.75,2,1
1272,1,2.5,1,0,0,22,0.9,133,6,8,605.0,669,2235,19,4,4,1,0,0,1,8,76,1.104,45.1,372.5,9.56,9.64,3,33.52,2,1
866,0,0.5,1,5,1,46,0.5,179,8,7,692.0,1686,3825,12,11,2,1,1,1,3,12,132,2.433,140.19,478.12,4.84,11.99,5,15.3,3,0
536,0,2.4,1,12,1,3,0.3,182,7,14,1386.0,1539,284,12,9,4,1,1,0,0,26,108,1.11,159.32,40.57,2.95,7.95,4,4.77,0,0
523,0,2.6,1,1,0,14,0.1,155,8,2,304.0,1042,1427,9,1,9,0,1,0,0,3,9,3.416,108.54,178.38,3.37,9.37,2,29.68,1,0
1753,0,0.5,1,0,1,31,0.1,134,1,18,1590.0,1926,1324,17,6,17,1,0,1,2,18,102,1.211,138.75,1324.0,13.08,22.25,4,0.66,1,2
1218,0,1.8,1,1,1,14,0.5,147,3,4,229.0,616,398,17,6,5,1,0,0,0,5,102,2.678,36.51,132.67,8.29,28.65,3,2.15,0,1
1537,1,2.5,0,4,1,43,0.3,137,1,5,839.0,1131,3685,18,17,17,1,1,1,3,9,306,1.346,74.12,3685.0,11.22,11.63,5,9.21,3,2
786,0,2.2,1,0,0,33,0.5,141,7,6,507.0,1697,2390,12,11,5,1,0,1,2,6,132,3.341,136.24,341.43,5.57,13.56,3,36.81,2,0
1678,0,2.1,0,3,1,64,0.9,134,3,11,436.0,536,278,19,6,10,1,1,0,0,14,114,1.227,34.55,92.67,12.52,172.28,3,1.75,0,2
1814,0,1.4,1,1,1,9,0.4,141,2,2,756.0,786,3556,18,12,16,1,0,0,3,3,216,1.038,57.4,1778.0,12.87,2.52,3,9.96,3,2
1101,0,1.8,0,0,0,31,0.2,148,2,7,387.0,1269,2196,12,6,19,0,1,1,1,7,72,3.271,102.05,1098.0,7.44,13.81,2,7.91,2,1
1461,0,2.4,1,3,1,40,0.5,141,7,4,1265.0,1298,3799,16,1,4,1,0,0,3,7,16,1.025,106.62,542.71,10.36,10.5,3,63.82,3,1
1216,0,3.0,0,4,0,47,0.4,199,3,7,1852.0,1967,2268,13,5,4,0,1,1,2,11,65,1.062,192.98,756.0,6.11,20.3,2,20.41,2,1
506,0,1.6,0,6,1,41,0.8,159,1,7,875.0,1025,2965,13,10,15,1,0,0,2,13,130,1.17,96.26,2965.0,3.18,13.69,2,4.74,2,0
843,1,0.5,0,1,1,56,0.1,147,5,17,140.0,800,2341,10,1,20,1,1,1,1,18,10,5.674,73.83,468.2,5.73,23.47,5,5.85,2,0
742,0,2.2,1,4,0,56,0.2,190,7,14,577.0,1359,3557,16,11,12,0,1,1,3,18,176,2.351,86.85,508.14,3.91,15.67,3,54.78,3,0
1692,1,2.1,0,3,1,61,0.9,176,6,12,975.0,1996,1354,16,7,19,1,0,0,1,15,112,2.045,130.67,225.67,9.61,42.89,3,17.06,1,2
1485,0,1.0,0,2,1,32,0.7,84,2,9,510.0,1013,2147,19,1,11,1,1,0,2,11,19,1.982,56.71,1073.5,17.68,14.57,3,4.29,2,1
1547,0,2.9,1,6,0,45,0.7,166,2,8,583.0,590,505,12,2,3,0,1,1,0,14,24,1.01,63.8,252.5,9.32,75.86,3,2.93,0,2
1692,0,2.3,1,4,1,46,0.9,139,1,6,674.0,1925,1394,16,10,6,1,1,0,1,10,160,2.852,119.98,1394.0,12.17,31.48,4,3.21,1,2
637,0,2.3,0,3,1,60,0.8,97,4,4,1125.0,1989,374,18,4,8,1,0,1,0,7,72,1.766,120.27,93.5,6.57,128.97,3,3.44,0,0
1224,0,0.5,0,16,1,6,0.4,109,6,18,747.0,826,506,10,6,11,1,1,1,0,34,60,1.104,101.24,84.33,11.23,10.1,4,1.52,0,1
1356,0,2.8,0,0,0,29,0.5,198,6,0,1612.0,1983,3702,17,6,19,0,0,0,3,0,102,1.229,141.97,617.0,6.85,7.81,0,62.19,3,1
1840,0,0.5,1,12,0,34,0.7,142,1,16,311.0,1545,1078,8,6,10,0,0,0,1,28,48,4.952,175.11,1078.0,12.96,29.5,1,0.54,1,2
1481,1,0.7,1,4,1,37,0.6,96,5,13,116.0,1533,2945,10,5,16,1,1,1,2,17,50,13.103,139.76,589.0,15.43,12.43,6,10.31,2,1
